Source,Target,Modularity
A. Prasad Sistla,A. Prasad Sistla,	102
A. Prasad Sistla,Bing Liu 0001,	1
A. Prasad Sistla,Isabel F. Cruz,	2
A. Prasad Sistla,Lenore D. Zuck,	6
A. Prasad Sistla,Robert H. Sloan,	1
A. Prasad Sistla,V. N. Venkatakrishnan,	8
Ajay D. Kshemkalyani,Ajay D. Kshemkalyani,	112
Ajay D. Kshemkalyani,Ugo Buy,	1
Anastasios Sidiropoulos,Anastasios Sidiropoulos,	100
Anastasios Sidiropoulos,Bhaskar DasGupta,	1
Andrew E. Johnson,Andrew E. Johnson,	74
Andrew E. Johnson,Barbara Di Eugenio,	2
Andrew E. Johnson,Luc Renambot,	26
Andrew E. Johnson,Tanya Y. Berger-Wolf,	1
Balajee Vamanan,Balajee Vamanan,	15
Barbara Di Eugenio,Barbara Di Eugenio,	108
Barbara Di Eugenio,Brian D. Ziebart,	1
Barbara Di Eugenio,Isabel F. Cruz,	2
Barbara Di Eugenio,Luc Renambot,	1
Barbara Di Eugenio,Peter C. Nelson,	3
Bhaskar DasGupta,Bhaskar DasGupta,	106
Bhaskar DasGupta,Nasim Mobasheri,	9
Bhaskar DasGupta,Robert H. Sloan,	2
Bhaskar DasGupta,Tanya Y. Berger-Wolf,	12
Bing Liu 0001,Bing Liu 0001,	189
Bing Liu 0001,Isabel F. Cruz,	1
Bing Liu 0001,Philip S. Yu,	18
Brent Stephens,Brent Stephens,	14
Brian D. Ziebart,Brian D. Ziebart,	50
Brian D. Ziebart,Chris Kanich,	1
Brian D. Ziebart,Tanya Y. Berger-Wolf,	2
Brian D. Ziebart,Xinhua Zhang,	4
Chris Kanich,Chris Kanich,	36
Chris Kanich,Jason Polakis,	1
Chris Kanich,Philip S. Yu,	2
Chris Kanich,Tanya Y. Berger-Wolf,	4
Cornelia Caragea,Cornelia Caragea,	86
Dale Reed,Dale Reed,	15
Daniel J. Bernstein,Daniel J. Bernstein,	151
Daniel J. Bernstein,Jon A. Solworth,	2
David Hayes,David Hayes,	4
Debaleena Chattopadhyay,Debaleena Chattopadhyay,	13
Elena Zheleva,Elena Zheleva,	15
Emanuelle Burton,Emanuelle Burton,	8
Evan McCarty,Evan McCarty,	1
G. Elisabeta Marai,G. Elisabeta Marai,	38
G. Elisabeta Marai,Robert V. Kenyon,	1
Georgeta Elisabeta Marai,Georgeta Elisabeta Marai,	1
Gonzalo A. Bello,Gonzalo A. Bello,	4
Ian A. Kash,Ian A. Kash,	75
Iasonas Polakis,Iasonas Polakis,	22
Isabel F. Cruz,Isabel F. Cruz,	125
Jakob Eriksson,Jakob Eriksson,	31
Jason Polakis,Jason Polakis,	5
John Lillis,John Lillis,	36
John T. Bell,John T. Bell,	2
Jon A. Solworth,Jon A. Solworth,	33
Jon A. Solworth,Robert H. Sloan,	3
Joseph Hummel,Joseph Hummel,	13
Lenore D. Zuck,Lenore D. Zuck,	78
Lenore D. Zuck,V. N. Venkatakrishnan,	5
Luc Renambot,Luc Renambot,	15
Mark Grechanik,Mark Grechanik,	63
Mark Grechanik,Ugo Buy,	3
Mitchell D. Theys,Mitchell D. Theys,	23
Natalie Paige Parde,Natalie Paige Parde,	1
Natalie Parde,Natalie Parde,	15
Patrick Troy,Patrick Troy,	1
Patrick Troy,Robert H. Sloan,	1
Peter C. Nelson,Peter C. Nelson,	38
Peter C. Nelson,Philip S. Yu,	1
Peter C. Nelson,Prasad Sistla,	1
Peter C. Nelson,Tanya Y. Berger-Wolf,	2
Philip S. Yu,Philip S. Yu,	1189
Philip S. Yu,Ugo A. Buy,	5
Piotr J. Gmytrasiewicz,Piotr J. Gmytrasiewicz,	76
Robert H. Sloan,Robert H. Sloan,	79
Robert H. Sloan,Tanya Y. Berger-Wolf,	1
Robert H. Sloan,Ugo A. Buy,	5
Robert V. Kenyon,Robert V. Kenyon,	22
Robert V. Kenyon,Tanya Y. Berger-Wolf,	2
Robert V. Kenyon,Ugo A. Buy,	1
Scott J. Reckinger,Scott J. Reckinger,	1
Shanon M. Reckinger,Shanon M. Reckinger,	1
Tanya Y. Berger-Wolf,Tanya Y. Berger-Wolf,	59
Ugo A. Buy,Ugo A. Buy,	11
Ugo Buy,Ugo Buy,	17
V. N. Venkatakrishnan,V. N. Venkatakrishnan,	45
William Mansky,William Mansky,	16
Xiaorui Sun,Xiaorui Sun,	38
Xingbo Wu,Xingbo Wu,	12
Xinhua Zhang,Xinhua Zhang,	92
